index,rate_num,score,season_name,season_num,series_name
251831,7250,7.5,齐木楠雄的灾难 完结篇,3,齐木楠雄的灾难
278899,5414,7.4,齐木楠雄的灾难 再始动篇,4,齐木楠雄的灾难
1014,15159,6.7,魔法禁书目录,1,魔法禁书目录
7843,12241,6.7,魔法禁书目录 第二季,2,魔法禁书目录
226540,7041,5.4,魔法禁书目录 第三季,3,魔法禁书目录
289,14673,8.0,寒蝉鸣泣之时,1,寒蝉鸣泣之时
288,12394,8.1,寒蝉鸣泣之时 解,2,寒蝉鸣泣之时
1326,4656,7.2,寒蝉鸣泣之时 礼,3,寒蝉鸣泣之时
14429,3282,6.7,寒蝉鸣泣之时 煌,4,寒蝉鸣泣之时
112146,14016,6.9,OVERLORD,1,OVERLORD
211027,10595,6.6,OVERLORD 第二季,2,OVERLORD
242170,9210,6.4,OVERLORD 第三季,3,OVERLORD
335389,7035,6.6,OVERLORD 第四季,4,OVERLORD
335390,1943,5.6,剧场版 OVERLORD 圣王国篇,5,OVERLORD
2463,13765,7.9,无头骑士异闻录,1,无头骑士异闻录
99941,5473,7.4,无头骑士异闻录×2 承,2,无头骑士异闻录
114967,4435,7.2,无头骑士异闻录×2 转,3,无头骑士异闻录
114968,4030,7.2,无头骑士异闻录×2 结,4,无头骑士异闻录
93714,13581,6.8,东京喰种,1,东京喰种
115292,7615,5.9,东京喰种√A,2,东京喰种
148481,4731,5.5,东京喰种:re,3,东京喰种
244878,4126,5.6,东京喰种:re 第二季,4,东京喰种
3326,13327,7.4,笨蛋，测验，召唤兽,1,笨蛋，测验，召唤兽
12496,4355,7.3,笨蛋，测验，召唤兽 ～祭～,2,笨蛋，测验，召唤兽
11145,10870,7.5,笨蛋，测验，召唤兽2,3,笨蛋，测验，召唤兽
50814,12345,7.1,打工吧！魔王大人,1,打工吧！魔王大人
330057,2828,5.4,打工吧！！魔王大人,2,打工吧！魔王大人
403225,1278,4.7,打工吧！！魔王大人 第二季,3,打工吧！魔王大人
259,11592,8.0,夏目友人帐,1,夏目友人帐
891,7776,8.0,续 夏目友人帐,2,夏目友人帐
12536,8875,8.2,夏目友人帐 叁,3,夏目友人帐
23495,6484,8.0,夏目友人帐 肆,4,夏目友人帐
174638,3841,7.7,夏目友人帐 伍,5,夏目友人帐
203387,3309,7.7,夏目友人帐 陆,6,夏目友人帐
443676,1700,7.8,夏目友人帐 柒,7,夏目友人帐
340,11434,8.7,虫师,1,虫师
92705,4656,8.5,虫师 续章,2,虫师
106207,4222,8.6,虫师 续章 第2部分,3,虫师
120700,2406,8.2,虫师 特别篇 铃之雫,4,虫师
212003,11220,7.0,赛马娘 Pretty Derby,1,赛马娘 Pretty Derby
315574,17013,8.4,赛马娘 Pretty Derby 第二季,2,赛马娘 Pretty Derby
407332,4609,5.0,赛马娘 Pretty Derby 第三季,3,赛马娘 Pretty Derby
78405,10965,8.0,悠哉日常大王,1,悠哉日常大王
101442,7249,8.0,悠哉日常大王 Repeat,2,悠哉日常大王
215618,4157,8.0,剧场版 悠哉日常大王 Vacation,3,悠哉日常大王
282684,6015,8.2,悠哉日常大王 Nonstop,4,悠哉日常大王
219200,10949,7.5,擅长捉弄的高木同学,1,擅长捉弄的高木同学
271151,8761,7.7,擅长捉弄的高木同学 第二季,2,擅长捉弄的高木同学
347887,7812,8.0,擅长捉弄的高木同学 第三季,3,擅长捉弄的高木同学
347888,4088,7.7,擅长捉弄的高木同学 剧场版,4,擅长捉弄的高木同学
256114,10620,6.0,五等分的新娘,1,五等分的新娘
282000,6400,6.6,五等分的新娘∬,2,五等分的新娘
427233,2666,6.6,五等分的新娘∽,3,五等分的新娘
331489,2940,6.8,电影 五等分的新娘,4,五等分的新娘
492352,1141,5.7,五等分的新娘＊,5,五等分的新娘
301541,10355,6.3,总之就是非常可爱,1,总之就是非常可爱
355798,3616,6.3,总之就是非常可爱 第二季,2,总之就是非常可爱
441233,1538,6.4,总之就是非常可爱 女子高中篇,3,总之就是非常可爱
5649,10109,7.5,妄想学生会,1,妄想学生会
85204,8011,7.6,妄想学生会＊,2,妄想学生会
200887,3184,7.5,剧场版 妄想学生会,3,妄想学生会
295918,1980,7.5,剧场版 妄想学生会2,4,妄想学生会
812,9914,7.8,剧场版 空之境界 第二章 杀人考察（前）,1,剧场版 空之境界 第二章 杀人考察（前）
766,9373,7.7,剧场版 空之境界 第四章 伽蓝之洞,2,剧场版 空之境界 第二章 杀人考察（前）
767,10445,7.9,剧场版 空之境界 第三章 痛觉残留,3,剧场版 空之境界 第二章 杀人考察（前）
233,11597,7.9,剧场版 空之境界 第一章 俯瞰风景,4,剧场版 空之境界 第二章 杀人考察（前）
1333,11935,8.4,剧场版 空之境界 第五章 矛盾螺旋,5,剧场版 空之境界 第二章 杀人考察（前）
2225,8016,7.3,剧场版 空之境界 第六章 忘却录音,6,剧场版 空之境界 第二章 杀人考察（前）
3423,9484,8.0,剧场版 空之境界 第七章 杀人考察（后）,7,剧场版 空之境界 第二章 杀人考察（前）
11629,6327,7.4,剧场版 空之境界 终章 空之境界,8,剧场版 空之境界 第二章 杀人考察（前）
49294,9857,7.2,Love Live!,1,Love Live!
75989,7256,7.3,Love Live! 第二季,2,Love Live!
107199,3430,7.3,Love Live! 学园偶像 电影,3,Love Live!
292,9701,7.9,DARKER THAN BLACK -黑之契约者-,1,DARKER THAN BLACK -黑之契约者-
